titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Nymphomaniac - Volume 1,25.0,2671.0,3.2,3.3
Sex and the City 2,12.0,3298.0,2.5,2.4
Transformers : l'âge de l'extinction,28.0,9653.0,2.7,3.1
Gangsterdam,15.0,919.0,2.0,1.5
Sex Tape,26.0,2940.0,2.2,1.9
The Wave,23.0,744.0,3.3,3.2
World War Z,28.0,22360.0,2.9,3.6
Avengers : L'ère d'Ultron,22.0,16265.0,2.9,4.0
Ce qui vous attend si vous attendez un enfant,14.0,1955.0,1.6,2.8
Nos jours heureux,21.0,17108.0,3.4,3.8
Spider-Man 3,27.0,41884.0,3.7,3.5
300,25.0,41932.0,2.9,3.9
Le Parrain,10.0,36050.0,4.6,4.5
Sing Street,31.0,1093.0,3.7,4.2
Bang Gang (Une Histoire D'Amour Moderne),20.0,684.0,2.8,2.5
Crazy- Stupid- Love,20.0,8904.0,3.0,3.9
The Visit,27.0,3058.0,3.4,3.0
Et si on vivait tous ensemble?,19.0,819.0,2.8,3.4
La French,29.0,7385.0,3.7,4.1
Eternal Sunshine of the Spotless Mind,20.0,31621.0,4.0,4.2
Take Shelter,27.0,5118.0,4.6,3.9
Warrior,20.0,6836.0,3.6,4.4
Zodiac,25.0,17954.0,4.1,3.7
Frantz,33.0,2690.0,3.7,4.1
Horns,22.0,3796.0,3.0,3.2
Jamais contente,13.0,227.0,3.2,3.0
Shaun of the Dead,24.0,18949.0,3.9,4.0
Diversion,26.0,4892.0,2.7,3.2
Donnie Darko,16.0,14888.0,3.9,4.0
Sexe entre amis,11.0,5920.0,2.5,3.5
Éperdument,19.0,957.0,2.6,3.3
Prémonitions,5.0,5405.0,2.8,3.5
Réparer Les Vivants,38.0,1256.0,3.8,3.7
S.O.S. Fantômes,33.0,3023.0,2.6,2.4
White God,26.0,613.0,3.5,3.5
Equalizer,15.0,6960.0,3.1,4.0
L'Amant D'un Jour,19.0,202.0,3.5,3.1
Ouija : les origines,14.0,901.0,2.9,2.5
San Andreas,11.0,6253.0,2.8,3.1
Alabama Monroe,21.0,5507.0,3.7,4.4
L'Économie du couple,28.0,1067.0,3.5,3.2
Prometheus,22.0,20905.0,3.4,3.3
The Big Lebowski,4.0,22377.0,3.8,4.1
C'est quoi cette famille?!,11.0,1126.0,2.8,3.2
L'Etrange histoire de Benjamin Button,26.0,33103.0,3.9,4.0
Le Seigneur des anneaux : la communauté de l'anneau,17.0,72198.0,3.6,4.5
Orgueil et préjugés,20.0,11331.0,3.8,4.0
Hot Fuzz,16.0,13710.0,3.6,3.9
Sans pitié,14.0,151.0,2.9,3.8
Le Pont des Espions,36.0,6547.0,3.9,4.0
Braqueurs,16.0,1799.0,3.3,3.6
Demain,12.0,4154.0,3.8,4.6
Jack Reacher,23.0,10849.0,3.2,3.6
Une Famille heureuse,15.0,152.0,3.6,3.8
Le Labyrinthe : La Terre brûlée,20.0,9546.0,3.0,3.5
Man of Steel,23.0,26327.0,3.3,3.7
Projet X,13.0,12623.0,3.0,3.4
